t_s,qpos_shoulder_pan,qpos_shoulder_lift,qpos_elbow_flex,qpos_wrist_flex,qpos_wrist_roll,qpos_gripper
2.14009,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.16007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.18006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.20006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.22005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.24006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.26006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.28005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.30006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.32005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.34005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.36005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.38005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.40006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.42005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.44005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.46005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.48006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.50005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.52004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.54005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.56005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.58005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.60005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.62005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.64005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.66005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.68005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.70005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.72005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.74005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.76005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.78005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.80005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.82005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.84005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.86006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.88005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.90005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.92006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.94005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.96005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.98006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.00006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.02005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.04006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.06005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.08005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.10006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.12005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.14006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.16005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.18005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.20005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.22006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.24006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.26005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.28006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.30005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.32006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.34006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.36006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.38006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.40006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.42006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.44006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.46046,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.48006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.50006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.52006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.54006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.56006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.58006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.60006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.62006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.64006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.66006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.68006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.70006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.72006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.74006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.76006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.78006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.80006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.82006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.84006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.86006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.88005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.90006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.92006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.94006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.96006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
3.98006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.00006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.02006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.04006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.06006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.08006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.10006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.12006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.14006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.16006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.18006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.20006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.22006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.24006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.26006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.28006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.30006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.32006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.34006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.36006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.38006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.40007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.42006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.44006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.46006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.48006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.50006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.52049,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.54006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.56006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.58052,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.60007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.62006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.64006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.66006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.68006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.70006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.72006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.74007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.76006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.78006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.80006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.82006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.84006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.86023,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.88006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.90007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.92007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.94007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.96007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
4.98006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.00006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.02006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.04007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.06007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.08007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.10006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.12006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.14007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.16007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.18007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.20007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.22007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.24006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.26006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.28007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.30007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.32007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.34007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.36007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.38007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
