t_recv_s,marker_finger_x,marker_finger_y,marker_finger_z,marker_finger_detected,marker_wrist_x,marker_wrist_y,marker_wrist_z,marker_wrist_detected
4.76540,0.113712,-0.104866,0.097997,1,0.075918,-0.063073,0.132370,1
4.79740,0.113689,-0.104555,0.097991,1,0.075914,-0.062877,0.132400,1
4.83340,0.113705,-0.104390,0.097887,1,0.075920,-0.062938,0.132358,1
4.86539,0.113620,-0.104366,0.097924,1,0.075849,-0.063573,0.132478,1
4.89745,0.113670,-0.104544,0.097965,1,0.075859,-0.062962,0.132391,1
4.93339,0.113720,-0.104352,0.097893,1,0.075918,-0.062911,0.132378,1
4.96539,0.113757,-0.104265,0.097896,1,0.075978,-0.063192,0.132452,1
4.99740,0.113719,-0.104570,0.097977,1,0.075938,-0.063290,0.132458,1
5.03339,0.113740,-0.104504,0.097953,1,0.075930,-0.062959,0.132404,1
5.06532,0.113700,-0.104332,0.097874,1,0.075885,-0.062709,0.132325,1
5.09743,0.113716,-0.104814,0.098058,1,0.075921,-0.062834,0.132402,1
5.13338,0.113758,-0.104496,0.097923,1,0.075990,-0.063169,0.132406,1
5.16540,0.113750,-0.103866,0.097736,1,0.075994,-0.063144,0.132392,1
5.19745,0.113734,-0.103981,0.097731,1,0.075954,-0.062821,0.132323,1
5.23344,0.113667,-0.104418,0.097925,1,0.075830,-0.062718,0.132338,1
5.26538,0.113693,-0.104103,0.097841,1,0.075890,-0.062867,0.132370,1
5.29739,0.113669,-0.104156,0.097863,1,0.075892,-0.063134,0.132402,1
5.33339,0.113696,-0.104481,0.097886,1,0.075926,-0.063306,0.132410,1
5.36539,0.113748,-0.104324,0.097887,1,0.075929,-0.062665,0.132366,1
5.39732,0.113875,-0.104195,0.097758,1,0.076120,-0.062792,0.132315,1
5.43339,0.113652,-0.104537,0.097905,1,0.075875,-0.063299,0.132405,1
5.46538,0.113764,-0.104687,0.098018,1,0.075974,-0.062718,0.132368,1
5.49743,0.113744,-0.104376,0.097905,1,0.075940,-0.062724,0.132328,1
5.53339,0.113764,-0.104436,0.097916,1,0.075924,-0.062841,0.132373,1
5.56541,0.113643,-0.104268,0.097953,1,0.075802,-0.062967,0.132451,1
5.59739,0.113705,-0.104318,0.097888,1,0.075886,-0.063015,0.132380,1
5.63331,0.113731,-0.104470,0.097891,1,0.075959,-0.063181,0.132388,1
5.66538,0.113677,-0.104343,0.097896,1,0.075901,-0.063459,0.132475,1
5.69739,0.113827,-0.104433,0.097905,1,0.076050,-0.063012,0.132418,1
